# DAB/DAB+ Automotive Audio Decoder Test Harness Execution Log
# Input: english_dab_plus.au | Codec: HE-AAC v2 | Sample Rate: 48000 Hz
# Frame	AU_Len	AU_Status	Conceal_Mode	Mute_State	Gain_Q15	Quality	Trigger	Samples
0	356	CRC_ERR	INTERP	IDLE	32767	0	0b01	960
1	363	CRC_ERR	INTERP	IDLE	32767	0	0b01	960
2	375	CRC_ERR	ATTEN	IDLE	32767	0	0b01	960
3	357	CRC_ERR	ATTEN	IDLE	32767	0	0b01	960
4	363	CRC_ERR	ATTEN	IDLE	32767	0	0b01	960
5	374	CRC_ERR	ATTEN	IDLE	32767	0	0b01	960
6	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
7	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
8	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
9	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
10	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
11	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
12	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
13	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
14	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
15	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
16	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
17	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
18	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
19	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
20	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
21	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
22	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
23	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
24	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
25	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
26	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
27	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
28	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
29	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
30	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
31	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
32	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
33	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
34	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
35	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
36	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
37	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
38	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
39	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
40	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
41	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
42	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
43	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
44	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
45	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
46	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
47	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
48	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
49	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
50	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
51	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
52	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
53	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
54	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
55	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
56	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
57	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
58	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
59	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
60	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
61	363	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
62	374	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
